Trial	A/R	Trigger_mode
1	1	4
2	1	1
3	1	1
4	1	1
5	1	1
6	0	1
7	0	1
8	1	1
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	1	1
15	1	1
16	1	1
17	0	1
18	0	1
19	0	1
20	1	1
21	1	1
22	1	1
23	0	1
24	0	1
25	1	1
26	0	1
27	0	1
28	0	1
29	0	2
30	1	1
31	1	1
32	1	1
33	0	1
34	0	1
35	0	1
36	0	1
37	0	1
38	1	1
39	0	1
40	1	1
41	1	1
42	1	1
43	1	1
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	0	1
50	0	1
51	0	1
52	0	1
53	1	1
54	1	1
55	1	1
56	1	1
57	1	1
58	1	1
59	0	1
60	0	1
61	0	1
62	0	1
63	0	1
64	1	1
65	1	1
66	1	1
67	1	1
68	0	1
69	0	1
70	0	1
71	0	1
72	0	1
73	0	1
74	0	1
75	0	1
76	0	4
77	0	1
78	0	1
79	0	1
80	0	1
81	0	1
82	0	1
83	0	1
84	0	1
85	0	1
86	0	1
87	0	1
88	0	1
89	0	1
90	9	1
91	9	4
92	9	1
93	9	1
94	9	1
95	9	1
96	9	1
97	9	1
98	9	1
99	9	1
100	9	1
101	9	1
102	9	1
103	9	1
104	9	1
105	9	1
106	9	1
107	9	1
108	9	1
109	9	3
110	9	1
111	9	1
112	9	1
113	9	1
114	9	1
115	9	1
116	9	1
117	9	1
118	9	3
119	9	1
120	9	1
121	9	1
122	9	1
123	9	1
124	9	1
125	9	1
126	9	1
127	9	1
128	9	1
129	9	1
130	9	1
131	9	1
132	9	1
133	9	1
134	9	1
135	9	1
136	9	3
137	9	1
138	9	1
139	9	1
140	9	1
